path,alt
Cape-Verde/LM_042126_soccer4.JPG,A smiling Cape Verde soccer fan holds his country's flag over his head on a green soccer field.
Cape-Verde/LM_042126_soccer5.JPG,A smiling man in a Cape Verde soccer jersey holds a blue flag with yellow stars on a soccer field.
Cape-Verde/LM_042126_soccer6.JPG,"A blurry reflection of a soccer fan is visible on a Cape Verde flag, featuring red, white, and yellow colors."
Cape-Verde/LM_042126_soccer7.JPG,A person points to the FCF (Cape Verde Football Federation) crest on a white soccer jersey with a subtle wave pattern.
Cape-Verde/LM_042126_soccer8.JPG,"A man with a beard and curly hair, draped in the Cape Verde flag, stands on a soccer field with a goal behind him."
Cape-Verde/LM_042126_soccer9.JPG,"A smiling man with a beard and curly hair, draped in a Cape Verde flag, stands behind a soccer goal net on a field."
Cape-Verde/LM_042126_soccer10.JPG,A smiling Cape Verde soccer fan holds the national flag behind a goal net on a soccer field.
Cape-Verde/LM_042126_soccer11.JPG,A smiling man in a white Cape Verde soccer jersey holds the country's flag behind a goal net on a field.
Colombia/01_NL_Colombia fan Camila Gonzalez_0009.JPG,A smiling Colombian soccer fan in a yellow jersey holds a flag inside a cafe with other patrons.
Colombia/02_NL_Colombia fan Camila Gonzalez_0006.JPG,"A woman in a yellow Colombian soccer jersey puckers her lips with eyes closed, holding her shirt."
Colombia/chant/NL_Colombia fan Camila Gonzalez_0001.JPG,"White coffee cups with ""CAFE DE COLOMBIA"" text and Colombian flag colors, on saucers, with other inverted cups in the background."
Colombia/NL_Colombia fan Camila Gonzalez_0002.JPG,"Inside a bustling Colombian cafe, customers wait at a counter displaying pastries, while a barista works and a TV shows a Wayuu mochila."
Colombia/NL_Colombia fan Camila Gonzalez_0003.JPG,"Golden-brown empanadas are displayed on a wooden tray with a chalkboard sign listing ""Empanadas"" and fillings like ""Beef,"" ""Chicken,"" ""Chorizo,"" and ""Cheese."
Colombia/NL_Colombia fan Camila Gonzalez_0004.JPG,"Two people are inside a cafe with a colorful mural, one in a wheelchair and another at a table, possibly discussing something."
Colombia/NL_Colombia fan Camila Gonzalez_0005.JPG,"A smiling woman in a yellow Colombian soccer jersey sits at a wooden table in a cafe, with shelves of snacks and souvenirs behind her."
Colombia/NL_Colombia fan Camila Gonzalez_0007.JPG,"A smiling woman in a yellow Colombia soccer jersey sits at a wooden counter with empanadas, snacks, and a ""Cafe de Colombia"" poster in the background."
Colombia/NL_Colombia fan Camila Gonzalez_0008.JPG,A smiling Colombian soccer fan in a yellow jersey rests her arm on a wooden table with empanadas and coffee.
Colombia/NL_Colombia fan Camila Gonzalez_0010.JPG,A young woman in a yellow Colombia soccer jersey and flag stands in a store with snacks and crafts.
Colombia/NL_Colombia fan Camila Gonzalez_0011.JPG,A smiling woman in a yellow Colombia soccer jersey holds a Colombian flag like a cape in a store.
Colombia/NL_Colombia fan Camila Gonzalez_0012.JPG,"A smiling woman in a yellow Colombian soccer jersey and jeans stands outside a cafe, hand in her hair."
Colombia/NL_Colombia fan Camila Gonzalez_0013.JPG,"A young woman in a yellow Colombian soccer jersey smiles, standing in front of shelves stocked with snacks."
Colombia/NL_Colombia fan Camila Gonzalez_0014.JPG,"A smiling woman in a Colombian soccer jersey holds a large Colombian flag in front of a ""Cafe Empanadas"" shop."
Colombia/NL_Colombia fan Camila Gonzalez_0015.JPG,"A smiling woman in a Colombian soccer jersey holds a large Colombian flag in front of a ""Cafe Empanadas"" shop."
Colombia/NL_Colombia fan Camila Gonzalez_0016.JPG,A smiling woman in a yellow Colombia soccer jersey holds a large Colombian flag in front of a yellow storefront.
Croatia/rpj_FIFA_fans_Croatia_001.JPG,"Two Croatian soccer fans, a man and a woman, cheer with arms raised outside a ""Croatia Restaurant."
Croatia/rpj_FIFA_fans_Croatia_002.JPG,"Two smiling Croatian soccer fans, a man and a woman, pose with inflatable checkered hands on a car hood."
Croatia/rpj_FIFA_fans_Croatia_003.JPG,"Two smiling Croatian soccer fans, a man and a woman, pose with checkered fan gear next to a car with ""Croatia"" branding."
Curaçao/sp-wcup-curacao.jpg,A bearded man in a blue Curaçao soccer kit poses with his foot on a ball on a turf field.
Czechia/01_IMG_7314.jpg,A man in red pants and sandals holds a large Czech flag against a brick wall.
Czechia/02_IMG_7345.jpg,A man in a tank top and red track pants holds a Czech flag against a brick wall.
DR-Congo/7B516274-FA13-40FB-8C63-3ACFC34C8BE7.jpg,A man in a floral jacket holds up the flag of the Democratic Republic of Congo in a hallway.
Ecuador/1_AM_Ecuador fans_113.JPG,"Two men hold an Ecuadorian flag outside ""Mundo Sports Bar Lounge"" with a ""Grand Opening"" banner and sports posters."
Ecuador/AM_Ecuador fans_101.JPG,"Two men at a restaurant table hold up cans of Inca Kola, one wearing an ECU baseball cap and a ""BARRIO"" hoodie."
Ecuador/AM_Ecuador fans_102.JPG,A chef in a Nike cap and gloves stirs a large pot on a stove in a commercial kitchen.
Ecuador/AM_Ecuador fans_103.JPG,"A man in a kitchen lifts the lid off a rice cooker, with a bowl of plantain fries and a bag of plantain chips nearby."
Ecuador/AM_Ecuador fans_104.JPG,"A chef in a black apron and Nike cap prepares plantains on a green cutting board in a commercial kitchen, with an Ecuadorian spice bottle visible on a shelf."
Ecuador/AM_Ecuador fans_106.JPG,"Two men in a restaurant, one wearing a ""CU"" cap and a hoodie with a skyline graphic, holding food, with an Ecuadorian flag and a TV screen in the background."
Ecuador/AM_Ecuador fans_107.JPG,A person with a red bracelet reaches for a napkin on a wooden table with a bowl of shrimp ceviche and a side of plantain chips.
Ecuador/AM_Ecuador fans_110.JPG,"Two men watch a soccer game on a TV in a restaurant, with an Ecuadorian flag hanging behind them."
Ecuador/AM_Ecuador fans_111.JPG,"A chef in a black apron and cap cooks food on a griddle, with steam rising, in a tiled kitchen."
Ecuador/AM_Ecuador fans_112.JPG,Two men eat a meal at a restaurant with an Ecuadorian flag and a soccer game playing on a TV in the background.
Ecuador/AM_Ecuador fans_113.JPG,"Two men hold an Ecuadorian flag outside ""Mundo Sports Bar Lounge"" with a ""Grand Opening"" banner, surrounded by sports posters."
Egypt/LM_042826_EgyptFan1.JPG,Egypt fan media in Toronto.
Egypt/LM_042826_EgyptFan3.JPG,Egypt fan media in Toronto.
Egypt/LM_042826_EgyptFan4.JPG,Close-up of a person wearing a red Egypt national soccer team jersey with the Puma logo and Egyptian FA crest.
Egypt/LM_042826_EgyptFan5.JPG,"A young Egyptian woman with dark curly hair, wearing a red soccer jersey, looks directly at the camera."
Egypt/LM_042826_EgyptFan6.JPG,Egypt fan media in Toronto.
Egypt/LM_042826_EgyptFan7.JPG,"A smiling Egyptian soccer fan in a red jersey with the Egyptian FA logo, clenching her fists in excitement against a patterned background."
Egypt/LM_042826_EgyptFan8.JPG,A smiling Egyptian soccer fan in a red jersey raises her fists in celebration against a backdrop of ornate wooden screens.
Egypt/LM_042826_EgyptFan9.JPG,A young woman in a red Egypt soccer jersey with a Nefertiti necklace stands against a colorful tiled wall.
Egypt/LM_042826_EgyptFan10.JPG,"A young Egyptian woman with curly hair looks away from the camera, framed by blurred foreground objects, against a wall of colorful patterned tiles."
Egypt/LM_042826_EgyptFan11.JPG,"A young woman with curly dark hair, wearing a red Puma shirt and a soccer team emblem, looks directly at the camera against a patterned tile wall."
Egypt/LM_042826_EgyptFan12.JPG,"A smiling young Egyptian woman with curly hair looks right, framed by two blurred brown objects, against a backdrop of colorful patterned tiles."
England/NL_WC fan England_0001.JPG,"A smiling man in an England soccer jersey stands before a large screen displaying ""ENGLAND HOUSE"" and the England team crest."
England/NL_WC fan England_0002.JPG,A smiling man with long blonde hair in a navy Umbro shirt stands before a red background with England soccer logos.
England/NL_WC fan England_0003.JPG,"A man in a red long-sleeve shirt with an England soccer crest stands in front of a large screen displaying the England team crest and a ""Red House Est. 2010"" logo."
France/FranceFan.jpg,A man in a light blue France soccer jersey with a rooster emblem smiles on a sunny rooftop overlooking a city skyline.
Germany/rpj_GermanyFanWC_01.JPG,"A smiling woman in a German soccer jersey holds a signed World Cup ball, with German and Toronto flags in the background."
Germany/rpj_GermanyFanWC_02.JPG,A smiling woman in a German soccer jersey holds a signed soccer ball in a bar decorated with flags and sports memorabilia.
Ghana/02_IMG_1023.jpg,"Two Ghanaian soccer fans, one holding a camera, proudly display their national flag at a stadium."
Ghana/IMG_1024.jpg,A bearded man in a yellow Ghana soccer jersey and Kente bucket hat takes a selfie at a stadium.
Haiti/rpj_HaitiFan_02.JPG,"A smiling Haitian soccer fan holds her country's flag under a ""FIFA World Cup 2026"" banner."
Haiti/rpj_HaitiFan_08.JPG,"A smiling Haitian soccer fan in a red and blue top and black cap stands in front of a ""FIFA World Cup"" banner and modern buildings."
Iran/01_IMG_2392.jpg,"An Iranian man in an Adidas tracksuit stands on an indoor soccer field, looking right and smiling."
Iraq/RL_ WorldCupIraq_01.JPG,"A smiling man holds an Iraqi flag, looking up and to the right, possibly watching a soccer game."
Iraq/RL_ WorldCupIraq_02.JPG,A man in a suit smiles while holding a small Iraqi flag.
Iraq/RL_ WorldCupIraq_03.JPG,"A smiling man in a suit waves an Iraqi flag, blurred in motion, against a plain background."
Iraq/RL_ WorldCupIraq_04.JPG,"A smiling man in a suit waves a blurred Iraqi flag, showing his support as a soccer fan."
Iraq/RL_ WorldCupIraq_05.JPG,"A smiling man in a suit waves an Iraqi flag, blurred by motion, against a plain background."
Ivory-Coast/cc637773-e80d-42ad-b825-95d1f857bafd.jpg,"A smiling man in an orange, white, and green Ivory Coast soccer jacket with the country's flag and elephant logo."
Japan/sp-wcup-japan.jpg,"Excited man in a Japan soccer jersey holds up another Japan jersey, mouth open in a cheer."
Jordan/rpj_JordanFans_02.JPG,Three smiling people hold a large Jordanian flag in front of a green food truck on a sunny day.
Jordan/rpj_JordanFans_03.JPG,"Three people, two women and one man, hold a Jordanian flag and raise their fists in front of modern buildings and trees."
Mexico/01_RL_ValenzuelaMexico1.JPG,"A young man in a ""Toronto Blue Jays Baseball Club"" shirt leans on a railing in a stadium, with the CN Tower in the background."
Mexico/2270233881.JPG,"A smiling baseball player in a ""Toronto 59"" jersey is drenched in yellow liquid on the field, celebrating a victory."
Morocco/IMG_2910.jpg,"A Moroccan soccer fan in a red jersey stands in front of a stadium, surrounded by other fans."
Netherlands/NL_Netherlands fan_0002.JPG,"A smiling man in an orange Adidas tracksuit, Dutch flag sunglasses, and a bow tie holds an inflatable orange foam finger, celebrating soccer."
Netherlands/NL_Netherlands fan_0007.JPG,"A cozy, dimly lit bar with a long wooden counter, bar stools, exposed brick, and a Dutch flag, suggesting a soccer fan establishment."
Netherlands/NL_Netherlands fan_0008.JPG,"A smiling Dutch soccer fan in an orange tracksuit, hat, and sunglasses waves a flag and a red scarf amidst framed photos."
New-Zealand/rpj_Hemmingways_01.JPG,"A smiling New Zealand soccer fan in a black jersey and blue hood holds out a beer, with a game on TV and a kiwi flag in the background."
New-Zealand/rpj_Hemmingways_02.JPG,"A smiling New Zealand soccer fan in a black jersey and blue hood holds up a beer, with a Kiwi flag banner in the background."
Norway/rpj_NorwayFanWC_01.JPG,A man in a red Norway soccer jersey stands smiling under a blooming tree in a park.
Norway/rpj_NorwayFanWC_02.JPG,A smiling man in a red Norway soccer jersey stands in a park with trees and buildings in the background.
Panama/5a503bed-b682-47b3-b509-ff73cc2be2b2.jpg,"A man in a Canada soccer jersey holds a Panama flag at a stadium, with a soccer field and stands in the background."
Panama/7ae5b21d-07f3-4e90-8234-a45f16d24796.jpg,"Excited Panamanian soccer fans in red and white cheer with flags and a banner that reads ""Dios y la Patria en mi corazón"" (God and Country in my heart)."
Panama/82e9aa95-3f34-4c09-8129-67c7b3a8850c.jpg,"Smiling Panama soccer fan holds a ""PANAMA"" scarf in a stadium, with a banner above reading ""Dios y la Patria en mi"" and the Panamanian flag."
Panama/aa85f3d8-bf1d-4b6e-971c-b0e386055c42.jpg,A male Panama soccer fan in a blue shirt and scarf poses in a stadium filled with spectators.
Paraguay/01_rpj_ParaFIFAFan._002.JPG,A man in a red shirt and black cap holds up a Paraguayan flag in a room with yellow walls and framed pictures.
Paraguay/rpj_ParaFIFAFan._001.JPG,"Man in a red floral shirt and black cap with a red clover, draped in a Paraguayan flag, sitting next to an ""Empanadas"" sign."
Portugal/9BA12733-A8B5-460E-9343-F6C832B9CEB8 (2).jpg,A young woman in sunglasses and a Portugal soccer jersey takes a selfie inside a car.
Portugal/IMG-20260603-WA0002.jpg,A smiling woman in a Portugal soccer jersey holds a large Portuguese flag in front of a brick building.
Portugal/IMG-20260603-WA0003.jpg,A smiling woman in a Portugal jersey sits on the floor with a soccer ball and a collection of Portugal fan gear.
Qatar/sp-wcup-qatar.jpg,"A woman in a hijab holds a red and white soccer ball that says ""WE ARE CANADA"" in a park."
Saudi-Arabia/sp-wcup-saudiarabia.jpg,A smiling Saudi Arabian soccer fan in a green scarf takes a selfie at a stadium with a match in progress.
Scotland/LM_041726_ScotlandFan1.JPG,"A man in a red Scotland soccer jersey stands outside ""Scotland Yard"" pub, hands clasped, on a sunny day."
Scotland/LM_041726_ScotlandFan2.JPG,Scotland fan media in Toronto.
Scotland/LM_041726_ScotlandFan3.JPG,"Close-up of a person wearing a red Scotland soccer jersey with purple pinstripes and a crest featuring a lion and ""EST 1873."
Scotland/LM_041726_ScotlandFan4.JPG,"A person in a red and purple striped Scotland soccer jersey looks towards the ""Scotland Yard"" pub entrance."
Scotland/LM_041726_ScotlandFan5.JPG,"A man in a red Scotland soccer jersey holds a Scottish flag, smiling in front of a building with a ""Scotland Yard"" sign."
Scotland/LM_041726_ScotlandFan6.JPG,Scotland fan media in Toronto.
Scotland/LM_041726_ScotlandFan7.JPG,"A man in a red Scotland soccer jersey sits at a table in a dimly lit pub, looking away."
Scotland/LM_041726_ScotlandFan8.JPG,"A Scottish soccer fan with blue eyes peeks over a blurry beer glass, wearing a red and white striped jersey in a dimly lit pub."
Scotland/LM_041726_ScotlandFan9.JPG,"A man in a Scotland soccer jersey sips beer from a glass at a dimly lit bar, with other patrons and tables in the background."
Scotland/LM_041726_ScotlandFan10.JPG,A smiling man in a red Scotland soccer jersey holds up a glass of beer in a dimly lit pub.
Scotland/LM_041726_ScotlandFan11.JPG,A smiling man in a red Scotland soccer jersey holds up a glass of beer in a dimly lit pub.
Scotland/LM_041726_ScotlandFan12.JPG,"A Scottish soccer fan in a red jersey drinks beer in a dimly lit bar, draped in a blue and white flag."
Scotland/LM_041726_ScotlandFan13.JPG,"A Scottish soccer fan, draped in a flag, watches intently in a dimly lit pub, holding a glass of beer."
Scotland/LM_041726_ScotlandFan14.JPG,"A Scottish soccer fan in a blue and white flag, wearing an Adidas shirt, raises a beer glass in a dimly lit pub."
Scotland/LM_041726_ScotlandFan15.JPG,"A Scottish soccer fan, draped in a flag, holds a beer and watches a game on a screen in a dimly lit pub."
Senegal/Senegal_World_Cup_Fans_Toronto_021780096829 (1).jpg,A man draped in a Senegal flag watches a soccer match on TV in a modern living room.
Senegal/Senegal_World_Cup_Fans_Toronto_031780096829.jpg,"A man draped in a Senegal flag sits on a couch, gesturing animatedly while watching a soccer match."
Senegal/Senegal_World_Cup_Fans_Toronto_041780096829.jpg,"A man draped in a Senegal flag sits intently on a couch, watching a soccer match."
Senegal/Senegal_World_Cup_Fans_Toronto_061780096829 (1).jpg,"A distressed Senegalese soccer fan, draped in the national flag, watches a game at home, hands on his head."
Senegal/Senegal_World_Cup_Fans_Toronto_081780096829.jpg,"A male Senegal soccer fan, draped in a flag, gestures excitedly while watching a game indoors."
Senegal/Senegal_World_Cup_Fans_Toronto_091780096829.jpg,"A man wrapped in a Senegal flag sits on a couch, watching soccer intently with his hands clasped."
South-Africa/78066352-d450-475e-b99d-8577b306e003.jpg,"A smiling couple takes a selfie at a crowded soccer stadium in South Africa, with many fans in the background."
South-Africa/db9d7e6c-594c-4589-b75f-6879bf617657.jpg,"A smiling man in a black jacket and jeans holds a vuvuzela, arms outstretched, in front of the FNB Stadium in South Africa, surrounded by other soccer fans."
South-Korea/sp-wcup-southkorea-two.jpg,"A man wearing a black hoodie with a Nike swoosh and a ""KOREA"" soccer crest featuring a lion's head."
Spain/hendrick.jpg,"A smiling man holds up a red and yellow ""ESPAÑA"" soccer scarf in front of a blue lake and sky."
Sweden/sp-wcup-sweden.jpg,"Two smiling Sweden soccer fans, a man and a woman, wear yellow jerseys and a scarf in a stadium."
Switzerland/NL_WC Fan Switzerland_0001.JPG,"A smiling woman in a Swiss flag scarf and shirt holds a flag and a decorative cowbell, surrounded by soccer-themed decor."
Switzerland/NL_WC Fan Switzerland_0002.JPG,Smiling Swiss soccer fan in a red and white shirt waves a flag and holds a rattle.
Tunisia/IMG_6053.jpg,"A man in a Tunisia soccer jersey, ripped jeans, and a black cap flexes his biceps in a kitchen."
Turkey/01_sr_FIFAfanTURKEY_03.JPG,"A bald man in sunglasses and a red polo shirt stands in front of a vibrant, geometric banner with ""2032"" visible, likely for a soccer event."
Turkey/sr_FIFAfanTURKEY_01.JPG,"A man in a red shirt and sunglasses gestures towards a bright green banner that reads ""NOUS SOMMES TORONTO"" (We Are Toronto)."
Turkey/sr_FIFAfanTURKEY_02.JPG,"A bald man in sunglasses and a red polo shirt smiles in front of a colorful, patterned banner."
Turkey/sr_FIFAfanTURKEY_04.JPG,A bald man in sunglasses and a red polo shirt with a Canadian maple leaf logo stands with crossed arms against a colorful striped wall.
Turkey/sr_FIFAfanTURKEY_05.JPG,"A man in a red polo shirt with a Canadian flag patch leans against a green banner reading ""NOUS SOMMES TORONTO"" (We Are Toronto), with colorful graphics behind him."
United-States/IMG-20120603-00003.jpg,"Two smiling men, one in a Canada soccer jersey and one in a US soccer jersey, stand in a stadium with fans in the background."
Uruguay/sp-wcup-uruguay.jpg,"Two smiling Uruguay soccer fans, a man and a woman, take a selfie in a stadium with a large scoreboard in the background."
Uzbekistan/01_IMG_1100.jpg,"A woman with curly hair and a patterned dress sits at a restaurant table with a green booth, looking at the camera."
Uzbekistan/02_IMG_1103.jpg,"A woman with long, curly brown hair and a zebra-print top looks at the camera."
